u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,access,tunnel
369922490,4991905618,0,"[510108668, 120124854]",primary,3,60,"['월배로', '비슬로']",True,5;26,False,23.640957549883673,"LINESTRING (128.5157325 35.810846, 128.5156378 35.8108009, 128.5155102 35.8107334)",,,
369922490,4989338024,0,519222068,secondary,5,,달서대로,True,10,False,89.64031020560859,"LINESTRING (128.5157325 35.810846, 128.5155397 35.8109602, 128.5153655 35.8110621, 128.5149314 35.8113233)",,,
369922493,4658633485,0,32836949,secondary,,,달서대로58길,False,,True,252.33140814553806,"LINESTRING (128.5075089 35.8247728, 128.5047105 35.8248094)",,,
369922493,3969467479,0,469042046,secondary,,,성서로,False,,True,317.49692947457845,"LINESTRING (128.5075089 35.8247728, 128.5074489 35.8276277)",,,
369922493,4631338661,0,720388407,secondary,,,성서동로,False,,False,195.4463520285214,"LINESTRING (128.5075089 35.8247728, 128.5096767 35.8247796)",,,
369922493,4666441505,0,469042046,secondary,,,성서로,False,,False,626.5178470498272,"LINESTRING (128.5075089 35.8247728, 128.5075092 35.8247205, 128.5075521 35.8238332, 128.5074878 35.8232416, 128.5072946 35.8227545, 128.5069942 35.8222847, 128.5062949 35.8216025, 128.5045825 35.8199319)",,,
370388726,4488685012,0,157218102,trunk,2,,앞산순환로,True,22,False,62.7168329319975,"LINESTRING (128.5543288 35.824154, 128.5539514 35.8236802)",,,
370388732,2889098141,0,285226196,tertiary,,,,True,,False,28.50626033125677,"LINESTRING (128.5492668 35.8183698, 128.5492042 35.8183188, 128.5491372 35.8182405, 128.5490749 35.8181671)",,,
370388732,5305131478,0,"[549193080, 549193085, 1036834685]",trunk,2,,앞산순환로,True,22,False,647.3031891084615,"LINESTRING (128.5492668 35.8183698, 128.5491203 35.8180879, 128.5490553 35.8177953, 128.5490523 35.8176324, 128.5490774 35.8174656, 128.5491683 35.817089, 128.5494648 35.8162514, 128.5496154 35.8157917, 128.5496829 35.8155882, 128.5497156 35.8153799, 128.5497156 35.8151111, 128.5496995 35.8149119, 128.5496814 35.814811, 128.5495764 35.8139454, 128.5495522 35.813689, 128.5495407 35.8135076, 128.5495699 35.8132734, 128.5496376 35.8130524, 128.5497215 35.8128577, 128.5498313 35.8126929)",yes,,
370388749,370388752,0,238568542,trunk,2,,,True,,False,138.66705582120682,"LINESTRING (128.5559438 35.8092548, 128.5562588 35.8091776, 128.5564403 35.8090778, 128.5565265 35.8089802, 128.5565639 35.8088824, 128.5565817 35.8087886, 128.5565695 35.8087035, 128.556549 35.8086476, 128.5565074 35.808599, 128.5564571 35.808536, 128.5562512 35.808414)",,,
370388749,1344279486,0,549193078,trunk,2,,앞산순환로,True,22,False,163.69777444973195,"LINESTRING (128.5559438 35.8092548, 128.5561502 35.8092432, 128.5563258 35.8092016, 128.5565909 35.8091092, 128.5568317 35.8089904, 128.5571189 35.8087874, 128.5572368 35.8086456, 128.5573339 35.8084472)",,,
370388752,8993030108,0,238568541,secondary,2,,상화로,True,10,False,383.6679290295117,"LINESTRING (128.5562512 35.808414, 128.5557749 35.8084096, 128.5551195 35.8083974, 128.5544294 35.8083916, 128.5540033 35.8083829, 128.5528614 35.8083538, 128.5523138 35.8083347, 128.5519991 35.8083136)",,,
388736061,4631765075,0,1087539512,secondary,5,,상화로,True,10,False,132.81164728710814,"LINESTRING (128.516697 35.810023, 128.5168031 35.8099525, 128.5169238 35.8098481, 128.5171517 35.8096158, 128.5174971 35.8091484, 128.5175569 35.8090629)",,,
388736124,4631415972,0,468682405,residential,,,상화로8길,False,,False,280.78204680505206,"LINESTRING (128.5188426 35.807934, 128.5157292 35.807901)",,,
388736124,4984139087,0,1087539512,secondary,5,,상화로,True,10,False,114.99516518065278,"LINESTRING (128.5188426 35.807934, 128.5195526 35.8076745, 128.5200429 35.8076114)",,,
388736370,420450627,0,510108695,secondary,5,,상화로,True,10,False,20.16484195470844,"LINESTRING (128.5428607 35.808234, 128.543079 35.8081947)",,,
